Start,Peak,End,Duration,Amplitude,RMS,AbsPower,RelPower,Frequency,Oscillations,Symmetry,Channel,IdxChannel
132.2734375,132.4140625,132.578125,0.3046875,37.16040517432556,9.102893087822949,1.9233904131930524,0.42119226181344105,11.16726512785041,4.0,0.45569620253164556,Fp1A2,0
141.9921875,142.14453125,142.51171875,0.51953125,51.99532481494738,11.654495827896179,2.0783782107122826,0.40209508402974736,11.172070402240994,5.0,0.291044776119403,Fp1A2,0
207.7265625,207.76171875,208.296875,0.5703125,61.23174070224658,12.78312283774203,2.145140362528618,0.47022304824734995,11.653410252600251,5.0,0.061224489795918366,Fp1A2,0
254.22265625,254.44140625,254.640625,0.41796875,45.85603890553962,9.70998182576325,1.8736161342402982,0.4694817869638972,12.075415430697634,5.0,0.5185185185185185,Fp1A2,0
288.796875,288.9375,289.76171875,0.96484375,46.40980046688752,10.395997970911194,2.0415618994413984,0.35762454082276274,12.228033817989227,10.0,0.14516129032258066,Fp1A2,0
373.08984375,373.2890625,373.58984375,0.5,52.27379954768436,10.75025875527109,2.102349942455839,0.5526013505409154,11.106720716904452,6.0,0.3953488372093023,Fp1A2,0
597.9453125,598.125,598.5,0.5546875,60.914685500338855,12.817220613046691,2.3548260074532608,0.5323262030924717,12.303671645343073,7.0,0.32167832167832167,Fp1A2,0
809.671875,810.78125,810.99609375,1.32421875,46.74753210988113,9.22398617983485,1.79080338963844,0.4164463263796552,13.449586287286577,15.0,0.8352941176470589,Fp1A2,0
861.26953125,861.42578125,861.671875,0.40234375,51.43645013759517,12.307145588105142,2.1955006426322248,0.456689583250228,13.879730534906276,6.0,0.38461538461538464,Fp1A2,0
891.2421875,891.546875,891.91015625,0.66796875,81.25286791737784,18.896559698022138,2.461256302358835,0.4234934090717209,11.86122889706505,8.0,0.45348837209302323,Fp1A2,0
907.34375,908.13671875,908.25390625,0.91015625,50.621723332509916,10.532020715884379,2.018846328504834,0.36980926442621787,13.439575000464856,11.0,0.8675213675213675,Fp1A2,0
929.78125,929.921875,930.15234375,0.37109375,50.09339664632469,11.44474598507269,2.0904720954425042,0.301625228035832,12.565228607989987,4.0,0.375,Fp1A2,0
930.83203125,931.5859375,931.62890625,0.796875,58.10344470091735,13.546611324382896,2.246827540806096,0.33144220487147347,11.224068647651952,9.0,0.9414634146341463,Fp1A2,0
940.18359375,940.359375,940.515625,0.33203125,38.62031434314945,9.169898045008306,1.8055436795952289,0.25877468351708577,14.25376948685736,5.0,0.5232558139534884,Fp1A2,0
941.16015625,941.37890625,941.609375,0.44921875,59.745670075395154,13.016679475015957,2.1486729878152984,0.36169718200858214,11.784099762924166,5.0,0.4827586206896552,Fp1A2,0
961.27734375,962.25390625,962.515625,1.23828125,121.18489745399378,18.194377417140892,2.3281461679413935,0.38862847632072084,11.776513007368655,13.0,0.7861635220125787,Fp1A2,0
970.80859375,971.8046875,972.9453125,2.13671875,67.39606844554106,14.168936302333437,2.510004161012091,0.6927170165887587,11.277479512417532,24.0,0.4653284671532847,Fp1A2,0
985.96875,986.10546875,986.28125,0.3125,39.30242364888609,9.90868150869806,2.19562589144221,0.25826919792578074,11.941806150694214,4.0,0.43209876543209874,Fp1A2,0
987.265625,987.69140625,988.0703125,0.8046875,38.771549909255626,10.379886616463004,2.2031532440795467,0.46367387006545213,11.77031403639005,9.0,0.5265700483091788,Fp1A2,0
994.3203125,994.90625,996.33984375,2.01953125,81.53420353766423,17.47624618472433,2.641386755888381,0.6771803919035364,11.643392342861066,24.0,0.28957528957528955,Fp1A2,0
1000.48046875,1001.734375,1002.10546875,1.625,85.8184928534849,16.104054722416368,2.4309617204153042,0.6559285112844904,12.01773915079615,20.0,0.7697841726618705,Fp1A2,0
1005.80078125,1007.109375,1007.39453125,1.59375,76.95741737019921,17.152280131917582,2.617108965538551,0.6616515206344206,11.968576026943524,19.0,0.8190709046454768,Fp1A2,0
1018.25,1018.63671875,1019.73828125,1.48828125,56.101871518985334,12.382322764737001,2.2774764233740754,0.6648030174256264,11.64785379736616,17.0,0.2591623036649215,Fp1A2,0
1024.9296875,1025.640625,1027.33984375,2.41015625,89.36113681432717,15.260370756080466,2.3560329086012954,0.6869307838614034,11.636178464339347,29.0,0.29449838187702265,Fp1A2,0
1032.4921875,1033.59375,1034.65625,2.1640625,92.83779335174052,17.620720709471865,2.492746320763994,0.5384617580638914,12.016691627447818,26.0,0.5081081081081081,Fp1A2,0
1041.83984375,1042.078125,1042.6875,0.84765625,60.02243464975074,12.538921450441709,2.0390739890062983,0.2966443171637696,12.21690723842136,9.0,0.2798165137614679,Fp1A2,0
1043.890625,1045.8046875,1046.48828125,2.59765625,83.8983176264048,13.156119116010943,2.1213609092485113,0.48131009359417287,11.704988927853545,28.0,0.7357357357357357,Fp1A2,0
1047.58984375,1047.88671875,1047.96484375,0.375,36.53288383401852,9.577427466281847,2.2402018699699005,0.26694623846308163,11.717110753153698,4.0,0.7835051546391752,Fp1A2,0
1058.2421875,1059.0546875,1060.33203125,2.08984375,75.98180854373182,13.98774330840801,2.3192637567293293,0.6611379072007313,11.517888998542405,23.0,0.3880597014925373,Fp1A2,0
1078.06640625,1079.19140625,1079.8359375,1.76953125,84.85999943714319,17.445699500115055,2.6501076149353304,0.7400149833448987,11.688340680545423,21.0,0.6343612334801763,Fp1A2,0
1086.46484375,1088.2734375,1089.0,2.53515625,95.7874581968904,18.960941389555554,2.52149728042354,0.6661514638960091,11.447218271192762,28.0,0.7123076923076923,Fp1A2,0
1100.796875,1101.0078125,1101.1328125,0.3359375,29.906441632393488,8.430446109087306,2.085735697407282,0.5366821389074771,12.027598876686957,4.0,0.6206896551724138,Fp1A2,0
1102.3984375,1103.24609375,1104.08203125,1.68359375,59.17175080460983,12.095781413920767,2.307779219832187,0.7087073253231999,11.894477619695039,20.0,0.5023148148148148,Fp1A2,0
1115.671875,1116.625,1117.51953125,1.84765625,97.41740867463244,17.881464320506325,2.513132774216756,0.5439565227689536,12.006424523454282,22.0,0.5147679324894515,Fp1A2,0
1120.796875,1121.44140625,1122.6328125,1.8359375,71.15585903354722,15.41110053955018,2.4897251372300864,0.7045346544820252,11.853492870538076,21.0,0.3503184713375796,Fp1A2,0
1128.23046875,1130.39453125,1130.73046875,2.5,75.80606671530167,15.133051037854525,2.1642391849977187,0.3242558342126804,11.743867200673478,28.0,0.8642745709828393,Fp1A2,0
1136.85546875,1137.05078125,1137.234375,0.37890625,40.63862629853434,8.996469941080091,2.0983688605216884,0.474073987007803,12.51450284797118,5.0,0.5102040816326531,Fp1A2,0
1139.609375,1139.875,1140.171875,0.5625,46.22136037659372,11.420458422511528,2.1219125862707733,0.48587329202363544,12.248377065831114,7.0,0.4689655172413793,Fp1A2,0
1141.03125,1141.9609375,1142.6484375,1.6171875,46.136461472643546,10.130114211203047,2.100880746845642,0.6010504043465112,11.308769704672798,18.0,0.5734939759036145,Fp1A2,0
1149.859375,1151.296875,1152.0390625,2.1796875,100.76696987347876,19.440080591118495,2.576485441626153,0.6153166832162008,11.839319907876625,26.0,0.6583184257602862,Fp1A2,0
1164.09765625,1165.3671875,1166.2578125,2.16015625,84.95477788643406,17.082586013254495,2.654918461533727,0.7727831868336781,11.663881909583472,26.0,0.5866425992779783,Fp1A2,0
1169.06640625,1170.50390625,1171.265625,2.19921875,87.01427703291117,18.514476913355754,2.412755946324107,0.5918527119293588,11.178977429818868,25.0,0.6524822695035462,Fp1A2,0
1175.7734375,1176.19921875,1176.3515625,0.578125,48.157888381040095,11.486400017600696,2.268637940484807,0.3673633632846175,11.819929165590864,6.0,0.7315436241610739,Fp1A2,0
1176.984375,1177.18359375,1177.68359375,0.69921875,52.472968785672975,11.68108648762442,1.9455091447220325,0.23136948829440557,12.624631612591202,8.0,0.2833333333333333,Fp1A2,0
1179.18359375,1179.65234375,1180.6171875,1.43359375,105.21018389364892,22.033214188047236,2.865125426724204,0.6898029349068687,11.704932233474786,16.0,0.32608695652173914,Fp1A2,0
1182.2265625,1183.91796875,1184.79296875,2.56640625,103.00949119342046,19.791902988617345,2.492229693032555,0.48392172632508124,11.698826401162172,28.0,0.6580547112462006,Fp1A2,0
1194.56640625,1194.83984375,1195.08984375,0.5234375,136.26178423986414,33.4754831475476,3.012982059892573,0.23615311781722,10.271784003446815,5.0,0.5185185185185185,Fp1A2,0
1195.75390625,1196.0546875,1196.2421875,0.48828125,58.42433596258226,15.878530745834297,2.39741210341327,0.2812910242344795,13.7012355806697,5.0,0.6111111111111112,Fp1A2,0
1197.359375,1197.515625,1197.671875,0.3125,49.39414851445811,10.717926449648846,2.133529272736904,0.3559438798067363,14.209559712796377,4.0,0.49382716049382713,Fp1A2,0
1219.2578125,1219.703125,1220.87109375,1.61328125,83.27175118954867,20.809258124068577,2.3531547725828377,0.44236918470439024,11.777519030310366,18.0,0.2753623188405797,Fp1A2,0
1224.66796875,1226.06640625,1227.18359375,2.515625,90.7237930514728,15.992969757504294,2.360483009519815,0.49465500309834687,11.72585217609321,29.0,0.5550387596899224,Fp1A2,0
1227.9140625,1227.953125,1228.26171875,0.34765625,42.54401082800674,9.61792265878702,2.0166722739424174,0.3147815563551955,11.851843260328673,4.0,0.1111111111111111,Fp1A2,0
1228.98046875,1229.6953125,1230.21484375,1.234375,112.67375564667947,22.710440159442943,2.249232084042009,0.45530682009899603,12.232666465477665,15.0,0.5772870662460567,Fp1A2,0
1232.7109375,1233.765625,1234.16015625,1.44921875,68.37447814642061,13.749838430688214,2.2346336460080867,0.4712186121294322,11.873492764468331,18.0,0.7258064516129032,Fp1A2,0
1237.3671875,1238.3515625,1238.546875,1.1796875,94.5492795566585,16.82843969108165,2.355910751376263,0.3824687169457974,11.335745395322487,14.0,0.8316831683168316,Fp1A2,0
1242.33203125,1243.7734375,1245.0625,2.73046875,72.22849340092347,14.92333006409911,2.398490202021611,0.5770794615402324,11.454615946912934,30.0,0.5271428571428571,Fp1A2,0
1248.80859375,1249.6875,1250.34765625,1.5390625,67.5821344734901,13.358949700561714,2.213570777010213,0.4655471049606916,11.251809315120305,17.0,0.569620253164557,Fp1A2,0
1254.25390625,1255.68359375,1256.3984375,2.14453125,69.4475504392705,14.468415460673919,2.348894199966087,0.6859658487542373,11.627257495951786,24.0,0.6654545454545454,Fp1A2,0
1264.06640625,1265.05859375,1265.5859375,1.51953125,101.17796540492124,20.764712139708774,2.5248234574747146,0.43269080422155254,12.036129766858004,18.0,0.6512820512820513,Fp1A2,0
1269.8671875,1270.28515625,1270.640625,0.7734375,99.15805106041671,20.711207768288077,2.507196788889254,0.29023488254816526,10.919370753528746,8.0,0.5376884422110553,Fp1A2,0
1273.140625,1274.37109375,1275.46875,2.328125,72.40975689221652,16.129847192094353,2.5494359645074547,0.6679881602683442,11.17107724550414,25.0,0.5276381909547738,Fp1A2,0
1286.96875,1287.26171875,1287.421875,0.453125,45.60682450332995,11.038574564698456,2.2332918457813307,0.30196121235828505,11.717259616330287,5.0,0.6410256410256411,Fp1A2,0
1292.18359375,1292.62890625,1293.5625,1.37890625,80.56375835690488,15.741324572799419,2.403089777310048,0.7061107036463956,11.855060264382397,17.0,0.3220338983050847,Fp1A2,0
1299.38671875,1299.796875,1300.8515625,1.46484375,77.65698409217231,16.551468714856284,2.3559866621204737,0.49937748738462895,11.650046812710086,17.0,0.27925531914893614,Fp1A2,0
1309.01171875,1309.87890625,1310.5234375,1.51171875,101.88116306985177,18.37991358525745,2.425422507101451,0.348342741509419,11.69816572122646,18.0,0.5721649484536082,Fp1A2,0
1313.92578125,1315.09765625,1316.09375,2.16796875,94.18379748673726,20.21265490161116,2.6253819396784364,0.557138186080672,11.61256903081457,25.0,0.539568345323741,Fp1A2,0
1318.6171875,1319.296875,1320.3046875,1.6875,73.12814402840314,13.723235868038444,2.116061633562837,0.43384655790233084,11.691580777568312,19.0,0.4018475750577367,Fp1A2,0
1323.1484375,1323.5,1323.90234375,0.75390625,62.45825403874543,15.96361505372211,2.3697465240506554,0.3334862915644492,12.882480362705643,10.0,0.4639175257731959,Fp1A2,0
1332.28515625,1332.57421875,1332.6640625,0.37890625,67.34307022562656,17.80969197616157,2.7499107455543492,0.34918826893116295,12.272851973988708,4.0,0.7551020408163265,Fp1A2,0
1339.17578125,1340.83203125,1340.9765625,1.80078125,79.53910206773861,14.033790042181725,2.337524495317829,0.5635415423383214,11.674739245836468,21.0,0.9177489177489178,Fp1A2,0
